task_name,component_id,task_schedulable,component_schedulable
Task_0,Camera_Sensor,True,True
Task_1,Camera_Sensor,True,True
Task_2,Image_Processor,True,True
Task_3,Image_Processor,True,True
Task_4,Bitmap_Processor,True,True
Task_5,Bitmap_Processor,True,True
Task_6,Lidar_Sensor,True,True
Task_7,Lidar_Sensor,True,True
Task_8,Lidar_Sensor,True,True
Task_9,Lidar_Sensor,True,True
Task_10,Control_Unit,True,True
Task_11,Control_Unit,True,True
Task_12,Control_Unit,True,True
Task_13,Control_Unit,True,True
Task_14,Control_Unit,True,True
Task_15,Control_Unit,True,True
Task_16,GPS_Sensor,True,True
Task_17,GPS_Sensor,True,True
Task_18,Communication_Unit,True,True
Task_19,Communication_Unit,True,True
Task_20,Communication_Unit,True,True
Task_21,Communication_Unit,True,True
Task_22,Proximity_Sensor,True,True
Task_23,Proximity_Sensor,True,True
Task_24,Proximity_Sensor,True,True
Task_25,Radar_Sensor,True,True
Task_26,Radar_Sensor,True,True
Task_27,Radar_Sensor,True,True
Task_28,Sonar_Sensor,True,True
Task_29,Sonar_Sensor,True,True
Task_30,Laser_Sensor,True,True
Task_31,Laser_Sensor,True,True
Task_32,Laser_Sensor,True,True
Task_33,Laser_Sensor,True,True
Task_34,Infrared_Sensor,True,True
Task_35,Infrared_Sensor,True,True
Task_36,Infrared_Sensor,True,True
Task_37,Ultraviolet_Sensor,True,True
Task_38,Ultraviolet_Sensor,True,True
Task_39,Ultraviolet_Sensor,True,True
Task_40,Ultraviolet_Sensor,True,True
Task_41,Ultraviolet_Sensor,True,True
Task_42,Ultraviolet_Sensor,True,True
Task_43,Ultraviolet_Sensor,True,True
Task_44,Ultraviolet_Sensor,True,True
Task_45,Thermal_Sensor,True,True
Task_46,Thermal_Sensor,True,True
Task_47,Thermal_Sensor,True,True
Task_48,Thermal_Sensor,True,True
Task_49,Pressure_Sensor,True,True
Task_50,Pressure_Sensor,True,True
Task_51,Pressure_Sensor,True,True
Task_52,Humidity_Sensor,True,True
Task_53,Humidity_Sensor,True,True
Task_54,Temperature_Sensor,True,True
Task_55,Temperature_Sensor,True,True
Task_56,Temperature_Sensor,True,True
Task_57,Temperature_Sensor,True,True
Task_58,Light_Sensor,True,True
Task_59,Light_Sensor,True,True
Task_60,Light_Sensor,True,True
