task_name,component_id,task_schedulable,wcrt,component_schedulable
Task_0,Camera_Sensor,1,39.41,1
Task_1,Camera_Sensor,1,20.08,1
Task_2,Camera_Sensor,1,174.71,1
Task_3,Camera_Sensor,1,49.07,1
Task_4,Camera_Sensor,1,583.03,1
Task_5,Image_Processor,1,25.00,1
Task_6,Image_Processor,1,50.00,1
Task_7,Image_Processor,1,75.00,1
Task_8,Lidar_Sensor,1,8.84,1
Task_9,Lidar_Sensor,1,42.71,1
Task_10,Lidar_Sensor,1,18.52,1
Task_11,Lidar_Sensor,1,71.74,1
Task_12,Control_Unit,1,75.00,1
Task_13,Control_Unit,1,40.00,1
Task_14,Control_Unit,1,100.00,1
Task_15,Control_Unit,1,50.00,1
Task_16,Control_Unit,1,75.00,1
Task_17,Control_Unit,1,120.00,1
